Packet sent; type=ACK; seqNum=0; length=16; checksum=4894fe8d

Packet sent; type=ACK; seqNum=1; length=16; checksum=75f4d73d

Packet sent; type=ACK; seqNum=2; length=16; checksum=3254aded

Packet sent; type=ACK; seqNum=3; length=16; checksum=0f34845d

Packet sent; type=ACK; seqNum=4; length=16; checksum=bd14584d

Packet sent; type=ACK; seqNum=5; length=16; checksum=807471fd

Packet sent; type=ACK; seqNum=6; length=16; checksum=c7d40b2d

Packet sent; type=ACK; seqNum=7; length=16; checksum=fab4229d

Packet sent; type=ACK; seqNum=8; length=16; checksum=78e4b54c

Packet sent; type=ACK; seqNum=9; length=16; checksum=45849cfc

Packet sent; type=ACK; seqNum=10; length=16; checksum=0224e62c

Packet sent; type=ACK; seqNum=11; length=16; checksum=3f44cf9c

Packet sent; type=ACK; seqNum=12; length=16; checksum=8d64138c

Packet sent; type=ACK; seqNum=13; length=16; checksum=b0043a3c

Packet sent; type=ACK; seqNum=14; length=16; checksum=f7a440ec

Packet sent; type=ACK; seqNum=15; length=16; checksum=cac4695c

Packet sent; type=ACK; seqNum=16; length=16; checksum=2874690f

Packet sent; type=ACK; seqNum=17; length=16; checksum=151440bf

Packet sent; type=ACK; seqNum=18; length=16; checksum=52b43a6f

Packet sent; type=ACK; seqNum=19; length=16; checksum=6fd413df

Packet sent; type=ACK; seqNum=20; length=16; checksum=ddf4cfcf

Packet sent; type=ACK; seqNum=21; length=16; checksum=e094e67f

Packet sent; type=ACK; seqNum=22; length=16; checksum=a7349caf

Packet sent; type=ACK; seqNum=23; length=16; checksum=9a54b51f

Packet sent; type=ACK; seqNum=24; length=16; checksum=180422ce

Packet sent; type=ACK; seqNum=25; length=16; checksum=25640b7e

Packet sent; type=ACK; seqNum=26; length=16; checksum=62c471ae

Packet sent; type=ACK; seqNum=27; length=16; checksum=5fa4581e

Packet sent; type=ACK; seqNum=28; length=16; checksum=ed84840e

Packet sent; type=ACK; seqNum=29; length=16; checksum=d0e4adbe

Packet sent; type=ACK; seqNum=30; length=16; checksum=9744d76e

Packet sent; type=ACK; seqNum=31; length=16; checksum=aa24fede

Packet sent; type=ACK; seqNum=32; length=16; checksum=8955d189

Packet sent; type=ACK; seqNum=33; length=16; checksum=b435f839

Packet sent; type=ACK; seqNum=34; length=16; checksum=f39582e9

Packet sent; type=ACK; seqNum=35; length=16; checksum=cef5ab59

Packet sent; type=ACK; seqNum=36; length=16; checksum=7cd57749

Packet sent; type=ACK; seqNum=37; length=16; checksum=41b55ef9

Packet sent; type=ACK; seqNum=38; length=16; checksum=06152429

Packet sent; type=ACK; seqNum=39; length=16; checksum=3b750d99

Packet sent; type=ACK; seqNum=40; length=16; checksum=b9259a48

Packet sent; type=ACK; seqNum=41; length=16; checksum=8445b3f8

Packet sent; type=ACK; seqNum=42; length=16; checksum=c3e5c928

Packet sent; type=ACK; seqNum=43; length=16; checksum=fe85e098

Packet sent; type=ACK; seqNum=44; length=16; checksum=4ca53c88

Packet sent; type=ACK; seqNum=45; length=16; checksum=71c51538

Packet sent; type=ACK; seqNum=46; length=16; checksum=36656fe8

Packet sent; type=ACK; seqNum=47; length=16; checksum=0b054658

Packet sent; type=ACK; seqNum=48; length=16; checksum=e9b5460b

Packet sent; type=ACK; seqNum=49; length=16; checksum=d4d56fbb

Packet sent; type=ACK; seqNum=50; length=16; checksum=9375156b

Packet sent; type=ACK; seqNum=51; length=16; checksum=ae153cdb

Packet sent; type=ACK; seqNum=52; length=16; checksum=1c35e0cb

Packet sent; type=ACK; seqNum=53; length=16; checksum=2155c97b

Packet sent; type=ACK; seqNum=54; length=16; checksum=66f5b3ab

Packet sent; type=ACK; seqNum=55; length=16; checksum=5b959a1b

Packet sent; type=ACK; seqNum=56; length=16; checksum=d9c50dca

Packet sent; type=ACK; seqNum=57; length=16; checksum=e4a5247a

Packet sent; type=ACK; seqNum=58; length=16; checksum=a3055eaa

Packet sent; type=ACK; seqNum=59; length=16; checksum=9e65771a

Packet sent; type=ACK; seqNum=60; length=16; checksum=2c45ab0a

Packet sent; type=ACK; seqNum=61; length=16; checksum=112582ba

Packet sent; type=ACK; seqNum=62; length=16; checksum=5685f86a

Packet sent; type=ACK; seqNum=63; length=16; checksum=6be5d1da

Packet sent; type=ACK; seqNum=64; length=16; checksum=1067a6c4

Packet sent; type=ACK; seqNum=65; length=16; checksum=2d078f74

Packet sent; type=ACK; seqNum=66; length=16; checksum=6aa7f5a4

Packet sent; type=ACK; seqNum=67; length=16; checksum=57c7dc14

Packet sent; type=ACK; seqNum=68; length=16; checksum=e5e70004

Packet sent; type=ACK; seqNum=69; length=16; checksum=d88729b4

Packet sent; type=ACK; seqNum=70; length=16; checksum=9f275364

Packet sent; type=ACK; seqNum=71; length=16; checksum=a2477ad4

Packet sent; type=ACK; seqNum=72; length=16; checksum=2017ed05

Packet sent; type=ACK; seqNum=73; length=16; checksum=1d77c4b5

Packet sent; type=ACK; seqNum=74; length=16; checksum=5ad7be65

Packet sent; type=ACK; seqNum=75; length=16; checksum=67b797d5

Packet sent; type=ACK; seqNum=76; length=16; checksum=d5974bc5

Packet sent; type=ACK; seqNum=77; length=16; checksum=e8f76275

Packet sent; type=ACK; seqNum=78; length=16; checksum=af5718a5

Packet sent; type=ACK; seqNum=79; length=16; checksum=92373115

